cytoband,chr,chromStart,chromEnd,band,gieStain
9q22.2,9,91800000,93900000,q22.2,gpos25
9q22.31,9,93900000,96600000,q22.31,gneg
9q22.32,9,96600000,99300000,q22.32,gpos25
9q22.33,9,99300000,102600000,q22.33,gneg
9q31.1,9,102600000,108200000,q31.1,gpos100
9q31.2,9,108200000,111300000,q31.2,gneg
9q31.3,9,111300000,114900000,q31.3,gpos25
9q32,9,114900000,117700000,q32,gneg
9q33.1,9,117700000,122500000,q33.1,gpos75
9q33.2,9,122500000,125800000,q33.2,gneg
9q33.3,9,125800000,130300000,q33.3,gpos25
9q34.11,9,130300000,133500000,q34.11,gneg
9q34.12,9,133500000,134000000,q34.12,gpos25
9q34.13,9,134000000,135900000,q34.13,gneg
9q34.2,9,135900000,137400000,q34.2,gpos25
9q34.3,9,137400000,141213431,q34.3,gneg
23p22.33,23,0,4300000,p22.33,gneg
23p22.32,23,4300000,6000000,p22.32,gpos50
23p22.31,23,6000000,9500000,p22.31,gneg
23p22.2,23,9500000,17100000,p22.2,gpos50
23p22.13,23,17100000,19300000,p22.13,gneg
23p22.12,23,19300000,21900000,p22.12,gpos50
23p22.11,23,21900000,24900000,p22.11,gneg
23p21.3,23,24900000,29300000,p21.3,gpos100
23p21.2,23,29300000,31500000,p21.2,gneg
23p21.1,23,31500000,37600000,p21.1,gpos100
23p11.4,23,37600000,42400000,p11.4,gneg
23p11.3,23,42400000,46400000,p11.3,gpos75
23p11.23,23,46400000,49800000,p11.23,gneg
23p11.22,23,49800000,54800000,p11.22,gpos25
23p11.21,23,54800000,58100000,p11.21,gneg
23p11.1,23,58100000,60600000,p11.1,acen
23q11.1,23,60600000,63000000,q11.1,acen
23q11.2,23,63000000,64600000,q11.2,gneg
23q12,23,64600000,67800000,q12,gpos50
23q13.1,23,67800000,71800000,q13.1,gneg
23q13.2,23,71800000,73900000,q13.2,gpos50
23q13.3,23,73900000,76000000,q13.3,gneg
23q21.1,23,76000000,84600000,q21.1,gpos100
23q21.2,23,84600000,86200000,q21.2,gneg
23q21.31,23,86200000,91800000,q21.31,gpos100
23q21.32,23,91800000,93500000,q21.32,gneg
23q21.33,23,93500000,98300000,q21.33,gpos75
23q22.1,23,98300000,102600000,q22.1,gneg
23q22.2,23,102600000,103700000,q22.2,gpos50
23q22.3,23,103700000,108700000,q22.3,gneg
23q23,23,108700000,116500000,q23,gpos75
23q24,23,116500000,120900000,q24,gneg
23q25,23,120900000,128700000,q25,gpos100
23q26.1,23,128700000,130400000,q26.1,gneg
23q26.2,23,130400000,133600000,q26.2,gpos25
23q26.3,23,133600000,138000000,q26.3,gneg
23q27.1,23,138000000,140300000,q27.1,gpos75
23q27.2,23,140300000,142100000,q27.2,gneg
23q27.3,23,142100000,147100000,q27.3,gpos100
23q28,23,147100000,155270560,q28,gneg
24p11.32,24,0,2500000,p11.32,gneg
24p11.31,24,2500000,3000000,p11.31,gpos50
24p11.2,24,3000000,11600000,p11.2,gneg
24p11.1,24,11600000,12500000,p11.1,acen
24q11.1,24,12500000,13400000,q11.1,acen
24q11.21,24,13400000,15100000,q11.21,gneg
24q11.221,24,15100000,19800000,q11.221,gpos50
24q11.222,24,19800000,22100000,q11.222,gneg
24q11.223,24,22100000,26200000,q11.223,gpos50
24q11.23,24,26200000,28800000,q11.23,gneg
24q12,24,28800000,59373566,q12,gvar
10p15.3,10,0,3000000,p15.3,gneg
10p15.2,10,3000000,3800000,p15.2,gpos25
10p15.1,10,3800000,6600000,p15.1,gneg
10p14,10,6600000,12200000,p14,gpos75
10p13,10,12200000,17300000,p13,gneg
10p12.33,10,17300000,18600000,p12.33,gpos75
10p12.32,10,18600000,18700000,p12.32,gneg
10p12.31,10,18700000,22600000,p12.31,gpos75
10p12.2,10,22600000,24600000,p12.2,gneg
10p12.1,10,24600000,29600000,p12.1,gpos50
10p11.23,10,29600000,31300000,p11.23,gneg
10p11.22,10,31300000,34400000,p11.22,gpos25
10p11.21,10,34400000,38000000,p11.21,gneg
10p11.1,10,38000000,40200000,p11.1,acen
10q11.1,10,40200000,42300000,q11.1,acen
10q11.21,10,42300000,46100000,q11.21,gneg
10q11.22,10,46100000,49900000,q11.22,gpos25
10q11.23,10,49900000,52900000,q11.23,gneg
10q21.1,10,52900000,61200000,q21.1,gpos100
10q21.2,10,61200000,64500000,q21.2,gneg
10q21.3,10,64500000,70600000,q21.3,gpos100
10q22.1,10,70600000,74900000,q22.1,gneg
10q22.2,10,74900000,77700000,q22.2,gpos50
10q22.3,10,77700000,82000000,q22.3,gneg
10q23.1,10,82000000,87900000,q23.1,gpos100
10q23.2,10,87900000,89500000,q23.2,gneg
10q23.31,10,89500000,92900000,q23.31,gpos75
10q23.32,10,92900000,94100000,q23.32,gneg
10q23.33,10,94100000,97000000,q23.33,gpos50
10q24.1,10,97000000,99300000,q24.1,gneg
10q24.2,10,99300000,101900000,q24.2,gpos50
10q24.31,10,101900000,103000000,q24.31,gneg
10q24.32,10,103000000,104900000,q24.32,gpos25
10q24.33,10,104900000,105800000,q24.33,gneg
10q25.1,10,105800000,111900000,q25.1,gpos100
10q25.2,10,111900000,114900000,q25.2,gneg
10q25.3,10,114900000,119100000,q25.3,gpos75
10q26.11,10,119100000,121700000,q26.11,gneg
10q26.12,10,121700000,123100000,q26.12,gpos50
10q26.13,10,123100000,127500000,q26.13,gneg
10q26.2,10,127500000,130600000,q26.2,gpos50
10q26.3,10,130600000,135534747,q26.3,gneg
11p15.5,11,0,2800000,p15.5,gneg
11p15.4,11,2800000,10700000,p15.4,gpos50
11p15.3,11,10700000,12700000,p15.3,gneg
11p15.2,11,12700000,16200000,p15.2,gpos50
11p15.1,11,16200000,21700000,p15.1,gneg
11p14.3,11,21700000,26100000,p14.3,gpos100
11p14.2,11,26100000,27200000,p14.2,gneg
11p14.1,11,27200000,31000000,p14.1,gpos75
11p13,11,31000000,36400000,p13,gneg
11p12,11,36400000,43500000,p12,gpos100
11p11.2,11,43500000,48800000,p11.2,gneg
11p11.12,11,48800000,51600000,p11.12,gpos75
11p11.11,11,51600000,53700000,p11.11,acen
11q11,11,53700000,55700000,q11,acen
11q12.1,11,55700000,59900000,q12.1,gpos75
11q12.2,11,59900000,61700000,q12.2,gneg
11q12.3,11,61700000,63400000,q12.3,gpos25
11q13.1,11,63400000,65900000,q13.1,gneg
11q13.2,11,65900000,68400000,q13.2,gpos25
11q13.3,11,68400000,70400000,q13.3,gneg
11q13.4,11,70400000,75200000,q13.4,gpos50
11q13.5,11,75200000,77100000,q13.5,gneg
11q14.1,11,77100000,85600000,q14.1,gpos100
11q14.2,11,85600000,88300000,q14.2,gneg
11q14.3,11,88300000,92800000,q14.3,gpos100
11q21,11,92800000,97200000,q21,gneg
11q22.1,11,97200000,102100000,q22.1,gpos100
11q22.2,11,102100000,102900000,q22.2,gneg
11q22.3,11,102900000,110400000,q22.3,gpos100
11q23.1,11,110400000,112500000,q23.1,gneg
11q23.2,11,112500000,114500000,q23.2,gpos50
11q23.3,11,114500000,121200000,q23.3,gneg
11q24.1,11,121200000,123900000,q24.1,gpos50
11q24.2,11,123900000,127800000,q24.2,gneg
11q24.3,11,127800000,130800000,q24.3,gpos50
11q25,11,130800000,135006516,q25,gneg
12p13.33,12,0,3300000,p13.33,gneg
12p13.32,12,3300000,5400000,p13.32,gpos25
12p13.31,12,5400000,10100000,p13.31,gneg
12p13.2,12,10100000,12800000,p13.2,gpos75
12p13.1,12,12800000,14800000,p13.1,gneg
12p12.3,12,14800000,20000000,p12.3,gpos100
12p12.2,12,20000000,21300000,p12.2,gneg
12p12.1,12,21300000,26500000,p12.1,gpos100
12p11.23,12,26500000,27800000,p11.23,gneg
12p11.22,12,27800000,30700000,p11.22,gpos50
12p11.21,12,30700000,33300000,p11.21,gneg
12p11.1,12,33300000,35800000,p11.1,acen
12q11,12,35800000,38200000,q11,acen
12q12,12,38200000,46400000,q12,gpos100
12q13.11,12,46400000,49100000,q13.11,gneg
12q13.12,12,49100000,51500000,q13.12,gpos25
12q13.13,12,51500000,54900000,q13.13,gneg
12q13.2,12,54900000,56600000,q13.2,gpos25
12q13.3,12,56600000,58100000,q13.3,gneg
12q14.1,12,58100000,63100000,q14.1,gpos75
12q14.2,12,63100000,65100000,q14.2,gneg
12q14.3,12,65100000,67700000,q14.3,gpos50
12q15,12,67700000,71500000,q15,gneg
12q21.1,12,71500000,75700000,q21.1,gpos75
12q21.2,12,75700000,80300000,q21.2,gneg
12q21.31,12,80300000,86700000,q21.31,gpos100
12q21.32,12,86700000,89000000,q21.32,gneg
12q21.33,12,89000000,92600000,q21.33,gpos100
12q22,12,92600000,96200000,q22,gneg
12q23.1,12,96200000,101600000,q23.1,gpos75
12q23.2,12,101600000,103800000,q23.2,gneg
12q23.3,12,103800000,109000000,q23.3,gpos50
12q24.11,12,109000000,111700000,q24.11,gneg
12q24.12,12,111700000,112300000,q24.12,gpos25
12q24.13,12,112300000,114300000,q24.13,gneg
12q24.21,12,114300000,116800000,q24.21,gpos50
12q24.22,12,116800000,118100000,q24.22,gneg
12q24.23,12,118100000,120700000,q24.23,gpos50
12q24.31,12,120700000,125900000,q24.31,gneg
12q24.32,12,125900000,129300000,q24.32,gpos50
12q24.33,12,129300000,133851895,q24.33,gneg
13p13,13,0,4500000,p13,gvar
13p12,13,4500000,10000000,p12,stalk
13p11.2,13,10000000,16300000,p11.2,gvar
13p11.1,13,16300000,17900000,p11.1,acen
13q11,13,17900000,19500000,q11,acen
13q12.11,13,19500000,23300000,q12.11,gneg
13q12.12,13,23300000,25500000,q12.12,gpos25
13q12.13,13,25500000,27800000,q12.13,gneg
13q12.2,13,27800000,28900000,q12.2,gpos25
13q12.3,13,28900000,32200000,q12.3,gneg
13q13.1,13,32200000,34000000,q13.1,gpos50
13q13.2,13,34000000,35500000,q13.2,gneg
13q13.3,13,35500000,40100000,q13.3,gpos75
13q14.11,13,40100000,45200000,q14.11,gneg
13q14.12,13,45200000,45800000,q14.12,gpos25
13q14.13,13,45800000,47300000,q14.13,gneg
13q14.2,13,47300000,50900000,q14.2,gpos50
13q14.3,13,50900000,55300000,q14.3,gneg
13q21.1,13,55300000,59600000,q21.1,gpos100
13q21.2,13,59600000,62300000,q21.2,gneg
13q21.31,13,62300000,65700000,q21.31,gpos75
13q21.32,13,65700000,68600000,q21.32,gneg
13q21.33,13,68600000,73300000,q21.33,gpos100
13q22.1,13,73300000,75400000,q22.1,gneg
13q22.2,13,75400000,77200000,q22.2,gpos50
13q22.3,13,77200000,79000000,q22.3,gneg
13q31.1,13,79000000,87700000,q31.1,gpos100
13q31.2,13,87700000,90000000,q31.2,gneg
13q31.3,13,90000000,95000000,q31.3,gpos100
13q32.1,13,95000000,98200000,q32.1,gneg
13q32.2,13,98200000,99300000,q32.2,gpos25
13q32.3,13,99300000,101700000,q32.3,gneg
13q33.1,13,101700000,104800000,q33.1,gpos100
13q33.2,13,104800000,107000000,q33.2,gneg
13q33.3,13,107000000,110300000,q33.3,gpos100
13q34,13,110300000,115169878,q34,gneg
14p13,14,0,3700000,p13,gvar
14p12,14,3700000,8100000,p12,stalk
14p11.2,14,8100000,16100000,p11.2,gvar
14p11.1,14,16100000,17600000,p11.1,acen
14q11.1,14,17600000,19100000,q11.1,acen
14q11.2,14,19100000,24600000,q11.2,gneg
14q12,14,24600000,33300000,q12,gpos100
14q13.1,14,33300000,35300000,q13.1,gneg
14q13.2,14,35300000,36600000,q13.2,gpos50
14q13.3,14,36600000,37800000,q13.3,gneg
14q21.1,14,37800000,43500000,q21.1,gpos100
14q21.2,14,43500000,47200000,q21.2,gneg
14q21.3,14,47200000,50900000,q21.3,gpos100
14q22.1,14,50900000,54100000,q22.1,gneg
14q22.2,14,54100000,55500000,q22.2,gpos25
14q22.3,14,55500000,58100000,q22.3,gneg
14q23.1,14,58100000,62100000,q23.1,gpos75
14q23.2,14,62100000,64800000,q23.2,gneg
14q23.3,14,64800000,67900000,q23.3,gpos50
14q24.1,14,67900000,70200000,q24.1,gneg
14q24.2,14,70200000,73800000,q24.2,gpos50
14q24.3,14,73800000,79300000,q24.3,gneg
14q31.1,14,79300000,83600000,q31.1,gpos100
14q31.2,14,83600000,84900000,q31.2,gneg
14q31.3,14,84900000,89800000,q31.3,gpos100
14q32.11,14,89800000,91900000,q32.11,gneg
14q32.12,14,91900000,94700000,q32.12,gpos25
14q32.13,14,94700000,96300000,q32.13,gneg
14q32.2,14,96300000,101400000,q32.2,gpos50
14q32.31,14,101400000,103200000,q32.31,gneg
14q32.32,14,103200000,104000000,q32.32,gpos50
14q32.33,14,104000000,107349540,q32.33,gneg
15p13,15,0,3900000,p13,gvar
15p12,15,3900000,8700000,p12,stalk
15p11.2,15,8700000,15800000,p11.2,gvar
15p11.1,15,15800000,19000000,p11.1,acen
15q11.1,15,19000000,20700000,q11.1,acen
15q11.2,15,20700000,25700000,q11.2,gneg
15q12,15,25700000,28100000,q12,gpos50
15q13.1,15,28100000,30300000,q13.1,gneg
15q13.2,15,30300000,31200000,q13.2,gpos50
15q13.3,15,31200000,33600000,q13.3,gneg
15q14,15,33600000,40100000,q14,gpos75
15q15.1,15,40100000,42800000,q15.1,gneg
15q15.2,15,42800000,43600000,q15.2,gpos25
15q15.3,15,43600000,44800000,q15.3,gneg
15q21.1,15,44800000,49500000,q21.1,gpos75
15q21.2,15,49500000,52900000,q21.2,gneg
15q21.3,15,52900000,59100000,q21.3,gpos75
15q22.1,15,59100000,59300000,q22.1,gneg
15q22.2,15,59300000,63700000,q22.2,gpos25
15q22.31,15,63700000,67200000,q22.31,gneg
15q22.32,15,67200000,67300000,q22.32,gpos25
15q22.33,15,67300000,67500000,q22.33,gneg
15q23,15,67500000,72700000,q23,gpos25
15q24.1,15,72700000,75200000,q24.1,gneg
15q24.2,15,75200000,76600000,q24.2,gpos25
15q24.3,15,76600000,78300000,q24.3,gneg
15q25.1,15,78300000,81700000,q25.1,gpos50
15q25.2,15,81700000,85200000,q25.2,gneg
15q25.3,15,85200000,89100000,q25.3,gpos50
15q26.1,15,89100000,94300000,q26.1,gneg
15q26.2,15,94300000,98500000,q26.2,gpos50
15q26.3,15,98500000,102531392,q26.3,gneg
16p13.3,16,0,7900000,p13.3,gneg
16p13.2,16,7900000,10500000,p13.2,gpos50
16p13.13,16,10500000,12600000,p13.13,gneg
16p13.12,16,12600000,14800000,p13.12,gpos50
16p13.11,16,14800000,16800000,p13.11,gneg
16p12.3,16,16800000,21200000,p12.3,gpos50
16p12.2,16,21200000,24200000,p12.2,gneg
16p12.1,16,24200000,28100000,p12.1,gpos50
16p11.2,16,28100000,34600000,p11.2,gneg
16p11.1,16,34600000,36600000,p11.1,acen
16q11.1,16,36600000,38600000,q11.1,acen
16q11.2,16,38600000,47000000,q11.2,gvar
16q12.1,16,47000000,52600000,q12.1,gneg
16q12.2,16,52600000,56700000,q12.2,gpos50
16q13,16,56700000,57400000,q13,gneg
16q21,16,57400000,66700000,q21,gpos100
16q22.1,16,66700000,70800000,q22.1,gneg
16q22.2,16,70800000,72900000,q22.2,gpos50
16q22.3,16,72900000,74100000,q22.3,gneg
16q23.1,16,74100000,79200000,q23.1,gpos75
16q23.2,16,79200000,81700000,q23.2,gneg
16q23.3,16,81700000,84200000,q23.3,gpos50
16q24.1,16,84200000,87100000,q24.1,gneg
16q24.2,16,87100000,88700000,q24.2,gpos25
16q24.3,16,88700000,90354753,q24.3,gneg
17p13.3,17,0,3300000,p13.3,gneg
17p13.2,17,3300000,6500000,p13.2,gpos50
17p13.1,17,6500000,10700000,p13.1,gneg
17p12,17,10700000,16000000,p12,gpos75
17p11.2,17,16000000,22200000,p11.2,gneg
17p11.1,17,22200000,24000000,p11.1,acen
17q11.1,17,24000000,25800000,q11.1,acen
17q11.2,17,25800000,31800000,q11.2,gneg
17q12,17,31800000,38100000,q12,gpos50
17q21.1,17,38100000,38400000,q21.1,gneg
17q21.2,17,38400000,40900000,q21.2,gpos25
17q21.31,17,40900000,44900000,q21.31,gneg
17q21.32,17,44900000,47400000,q21.32,gpos25
17q21.33,17,47400000,50200000,q21.33,gneg
17q22,17,50200000,57600000,q22,gpos75
17q23.1,17,57600000,58300000,q23.1,gneg
17q23.2,17,58300000,61100000,q23.2,gpos75
17q23.3,17,61100000,62600000,q23.3,gneg
17q24.1,17,62600000,64200000,q24.1,gpos50
17q24.2,17,64200000,67100000,q24.2,gneg
17q24.3,17,67100000,70900000,q24.3,gpos75
17q25.1,17,70900000,74800000,q25.1,gneg
17q25.2,17,74800000,75300000,q25.2,gpos25
17q25.3,17,75300000,81195210,q25.3,gneg
18p11.32,18,0,2900000,p11.32,gneg
18p11.31,18,2900000,7100000,p11.31,gpos50
18p11.23,18,7100000,8500000,p11.23,gneg
18p11.22,18,8500000,10900000,p11.22,gpos25
18p11.21,18,10900000,15400000,p11.21,gneg
18p11.1,18,15400000,17200000,p11.1,acen
18q11.1,18,17200000,19000000,q11.1,acen
18q11.2,18,19000000,25000000,q11.2,gneg
18q12.1,18,25000000,32700000,q12.1,gpos100
18q12.2,18,32700000,37200000,q12.2,gneg
18q12.3,18,37200000,43500000,q12.3,gpos75
18q21.1,18,43500000,48200000,q21.1,gneg
18q21.2,18,48200000,53800000,q21.2,gpos75
18q21.31,18,53800000,56200000,q21.31,gneg
18q21.32,18,56200000,59000000,q21.32,gpos50
18q21.33,18,59000000,61600000,q21.33,gneg
18q22.1,18,61600000,66800000,q22.1,gpos100
18q22.2,18,66800000,68700000,q22.2,gneg
18q22.3,18,68700000,73100000,q22.3,gpos25
18q23,18,73100000,78077248,q23,gneg
19p13.3,19,0,6900000,p13.3,gneg
19p13.2,19,6900000,13900000,p13.2,gpos25
19p13.13,19,13900000,14000000,p13.13,gneg
19p13.12,19,14000000,16300000,p13.12,gpos25
19p13.11,19,16300000,20000000,p13.11,gneg
19p12,19,20000000,24400000,p12,gvar
19p11,19,24400000,26500000,p11,acen
19q11,19,26500000,28600000,q11,acen
19q12,19,28600000,32400000,q12,gvar
19q13.11,19,32400000,35500000,q13.11,gneg
19q13.12,19,35500000,38300000,q13.12,gpos25
19q13.13,19,38300000,38700000,q13.13,gneg
19q13.2,19,38700000,43400000,q13.2,gpos25
19q13.31,19,43400000,45200000,q13.31,gneg
19q13.32,19,45200000,48000000,q13.32,gpos25
19q13.33,19,48000000,51400000,q13.33,gneg
19q13.41,19,51400000,53600000,q13.41,gpos25
19q13.42,19,53600000,56300000,q13.42,gneg
19q13.43,19,56300000,59128983,q13.43,gpos25
20p13,20,0,5100000,p13,gneg
20p12.3,20,5100000,9200000,p12.3,gpos75
20p12.2,20,9200000,12100000,p12.2,gneg
20p12.1,20,12100000,17900000,p12.1,gpos75
20p11.23,20,17900000,21300000,p11.23,gneg
20p11.22,20,21300000,22300000,p11.22,gpos25
20p11.21,20,22300000,25600000,p11.21,gneg
20p11.1,20,25600000,27500000,p11.1,acen
20q11.1,20,27500000,29400000,q11.1,acen
20q11.21,20,29400000,32100000,q11.21,gneg
20q11.22,20,32100000,34400000,q11.22,gpos25
20q11.23,20,34400000,37600000,q11.23,gneg
20q12,20,37600000,41700000,q12,gpos75
20q13.11,20,41700000,42100000,q13.11,gneg
20q13.12,20,42100000,46400000,q13.12,gpos25
20q13.13,20,46400000,49800000,q13.13,gneg
20q13.2,20,49800000,55000000,q13.2,gpos75
20q13.31,20,55000000,56500000,q13.31,gneg
20q13.32,20,56500000,58400000,q13.32,gpos50
20q13.33,20,58400000,63025520,q13.33,gneg
21p13,21,0,2800000,p13,gvar
21p12,21,2800000,6800000,p12,stalk
21p11.2,21,6800000,10900000,p11.2,gvar
21p11.1,21,10900000,13200000,p11.1,acen
21q11.1,21,13200000,14300000,q11.1,acen
21q11.2,21,14300000,16400000,q11.2,gneg
21q21.1,21,16400000,24000000,q21.1,gpos100
21q21.2,21,24000000,26800000,q21.2,gneg
21q21.3,21,26800000,31500000,q21.3,gpos75
21q22.11,21,31500000,35800000,q22.11,gneg
21q22.12,21,35800000,37800000,q22.12,gpos50
21q22.13,21,37800000,39700000,q22.13,gneg
21q22.2,21,39700000,42600000,q22.2,gpos50
21q22.3,21,42600000,48129895,q22.3,gneg
22p13,22,0,3800000,p13,gvar
22p12,22,3800000,8300000,p12,stalk
22p11.2,22,8300000,12200000,p11.2,gvar
22p11.1,22,12200000,14700000,p11.1,acen
22q11.1,22,14700000,17900000,q11.1,acen
22q11.21,22,17900000,22200000,q11.21,gneg
22q11.22,22,22200000,23500000,q11.22,gpos25
22q11.23,22,23500000,25900000,q11.23,gneg
22q12.1,22,25900000,29600000,q12.1,gpos50
22q12.2,22,29600000,32200000,q12.2,gneg
22q12.3,22,32200000,37600000,q12.3,gpos50
22q13.1,22,37600000,41000000,q13.1,gneg
22q13.2,22,41000000,44200000,q13.2,gpos50
22q13.31,22,44200000,48400000,q13.31,gneg
22q13.32,22,48400000,49400000,q13.32,gpos50
22q13.33,22,49400000,51304566,q13.33,gneg
